protest_type_id,protest_type_name,protest_type_slug
25,baby shower,babyshower
107, cookout,cookout
344,proteset,proteset
183,funeral procession,funeralprocession
364,protestor,protestor
261,motorcade,motorcade
219,lie-in,liein
535, virtual vigil,virtualvigil
42,billboard/sign blackout,billboardsignblackout
91,children's march,childrensmarch
40,bike rally,bikerally
84,chalk,chalk
372,protest skate,protestskate
100,community bill signing,communitybillsigning
89,chalk writing,chalkwriting
555,wheatpasting,wheatpasting
361,protest on bicycles,protestonbicycles
558, work-out,workout
208,jail support,jailsupport
412,remembrance,remembrance
10,art and sign making,artandsignmaking
265,motorcycle ride,motorcycleride
406,rally/protest,rallyprotest
378,Protest walk,protestwalk
98,commemoration,commemoration
353,protestd,protestd
163, emonstration,emonstration
409,rally/voters' registration,rallyvotersregistration
258,mock funeral,mockfuneral
51,block party,blockparty
185, gather,gather
533, virtual strike,virtualstrike
496,teach-in,teachin
368,protest rally,protestrally
505,tractor rally,tractorrally
382,protetst,protetst
416,ride,ride
136, direct action march,directactionmarch
454,skateboard protest,skateboardprotest
131,Demostration,demostration
323,praise and worship gathering,praiseandworshipgathering
190,graffiti protest,graffitiprotest
254,memorial service,memorialservice
459, sleep-in,sleepin
383,protext,protext
110, counter-rally,counterrally
290,online rally,onlinerally
297, overnight sit-in,overnightsitin
119, dancing,dancing
285,observation,observation
373,protest soccer,protestsoccer
367,protest / photo-op,protestphotoop
162,educational gathering,educationalgathering
43,birthday celebration,birthdaycelebration
18,art protest,artprotest
333, prayer service,prayerservice
64,campaign event,campaignevent
101,community event,communityevent
264,motorcycle rally,motorcyclerally
281,nonviolent occupation,nonviolentoccupation
520,vehicle rally,vehiclerally
26,bailout,bailout
164,encampment,encampment
400,rally and prayer service,rallyandprayerservice
224, looting,looting
310, petition signing,petitionsigning
529,virtual gathering,virtualgathering
85, chalk art,chalkart
231, march and forum,marchandforum
348,Protest and march,protestandmarch
262,motorcycle brigade,motorcyclebrigade
194, hanging of effigy,hangingofeffigy
72,caravan protest,caravanprotest
539,voter registration & protest,voterregistrationprotest
280,non-violent direct action training,nonviolentdirectactiontraining
130, demonstrator,demonstrator
6, and car caravan,andcarcaravan
139, discussion with police,discussionwithpolice
173,flag burning,flagburning
2,2.0,20
456,skate rally,skaterally
176,flash rally,flashrally
543,Walk for Solidarity,walkforsolidarity
8,armed protest,armedprotest
240,march/vigil,marchvigil
465,solidarity rally,solidarityrally
513,unity march,unitymarch
569,Zumba rally,zumbarally
304,peace walk,peacewalk
153,drive-by rally,drivebyrally
29, balloon release,balloonrelease
24,auto rally,autorally
188,golf cart caravan,golfcartcaravan
260, moment of silence,momentofsilence
328, prayer gathering,prayergathering
336,prayer walk,prayerwalk
126,demonstration/march,demonstrationmarch
75,car caravans,carcaravans
379,protest: walkout,protestwalkout
354,protested,protested
288,on-campus strike and march,oncampusstrikeandmarch
484,Strike and Demonstration,strikeanddemonstration
251,Meetup,meetup
560,work stoppage,workstoppage
548,walkout/rally,walkoutrally
21,assembly,assembly
547,walkout/march,walkoutmarch
147,dress code protest,dresscodeprotest
211,kindness march,kindnessmarch
94,civil protest,civilprotest
223,Lol,lol
470, speeches,speeches
138, discussions,discussions
161,Educational Fair,educationalfair
228, marcg,marcg
22,A student-led walkout is being organized.,astudentledwalkoutisbeingorganized
345,protesst,protesst
485,Strike and meet up to demonstrate,strikeandmeetuptodemonstrate
551,walkut,walkut
230,March and demonstration,marchanddemonstration
59,boycott classes,boycottclasses
120,day of dialogue and reflection,dayofdialogueandreflection
431,"""send out"" day",sendoutday
287,on-campus discussion,oncampusdiscussion
428,School Walkout,schoolwalkout
207,It's kind of a combination NVDA and strike. It's a trash pickup/strike with signs demanding declaration of a climate emergency,itskindofacombinationnvdaandstrikeitsatrashpickupstrikewithsignsdemandingdeclarationofaclimateemergency
268, multi-school protest,multischoolprotest
316,planned activities,plannedactivities
