event_id,actor_id,actor_type_id,group_num,affiliation
7595027,472,6,1,primary
7594528,472,6,1,primary
7603730,472,6,1,primary
7602433,472,6,1,primary
7602542,472,6,1,primary
7602673,472,6,1,primary
7602685,472,6,1,primary
7602206,472,6,1,primary
7601953,472,6,1,primary
7601963,472,6,1,primary
7601965,472,6,1,primary
7601967,472,6,1,primary
7601969,472,6,1,primary
7601970,472,6,1,primary
7601460,472,6,1,primary
7601524,472,6,1,primary
7608221,472,6,1,primary
7601173,472,6,1,primary
7698756,472,6,1,primary
7600982,472,6,1,primary
7726975,472,6,1,primary
7601073,472,6,1,primary
7601083,472,6,1,primary
7698725,472,6,1,primary
7600295,472,6,1,primary
7599577,472,6,1,primary
7599271,472,6,1,primary
7598382,472,6,1,primary
7612235,472,6,1,primary
7617282,472,6,1,primary
8005154,44,3,1,primary
7789978,44,3,1,primary
7789973,44,3,1,primary
7667660,44,3,1,primary
7667658,44,3,1,primary
7803648,44,3,1,primary
7611060,44,3,1,primary
7610933,44,3,1,primary
7610893,44,3,1,primary
7610867,44,3,1,primary
7609598,44,3,1,primary
7609265,44,3,1,primary
7595464,472,6,1,primary
8005160,472,6,1,primary
8005028,472,6,1,primary
8005350,472,6,1,primary
8005138,472,6,1,primary
7974737,472,6,1,primary
7974799,472,6,1,primary
7934702,472,6,1,primary
7934499,472,6,1,primary
7934707,472,6,1,primary
7923689,472,6,1,primary
7923310,472,6,1,primary
7923590,472,6,1,primary
7814414,472,6,1,primary
7803473,472,6,1,primary
7790096,472,6,1,primary
7804022,472,6,1,primary
7789979,472,6,1,primary
7789431,472,6,1,primary
7803654,472,6,1,primary
7740514,472,6,1,primary
7726902,472,6,1,primary
7727055,472,6,1,primary
7695517,472,6,1,primary
7615689,472,6,1,primary
7614820,472,6,1,primary
7614582,472,6,1,primary
7613705,472,6,1,primary
7614534,426,1,1,primary
7613600,426,1,1,primary
7613601,472,6,1,primary
7613341,472,6,1,primary
7613287,12,4,1,primary
7751492,472,6,1,primary
7612872,472,6,1,primary
7753144,472,6,1,primary
7610938,472,6,1,primary
7610821,472,6,1,primary
7610672,472,6,1,primary
7609984,472,6,1,primary
7609775,472,6,1,primary
7609202,472,6,1,primary
7609129,472,6,1,primary
7608788,472,6,1,primary
7607611,472,6,1,primary
7607612,472,6,1,primary
7613018,524,3,1,primary
7607002,472,6,1,primary
7606928,472,6,1,primary
7608115,524,3,1,primary
7606850,472,6,1,primary
7606851,472,6,1,primary
7606768,472,6,1,primary
7753145,472,6,1,primary
7606429,472,6,1,primary
7606430,472,6,1,primary
7606263,472,6,1,primary
7606190,472,6,1,primary
7606069,472,6,1,primary
7606010,472,6,1,primary
7753104,472,6,1,primary
7605131,472,6,1,primary
7605132,472,6,1,primary
7668257,472,6,1,primary
7668263,472,6,1,primary
7604679,472,6,1,primary
7604503,472,6,1,primary
7603997,472,6,1,primary
7597924,472,6,1,primary
7597910,472,6,1,primary
7753363,472,6,1,primary
7612982,472,6,1,primary
7597062,472,6,1,primary
7597073,472,6,1,primary
7597035,472,6,1,primary
7596661,472,6,1,primary
7596618,472,6,1,primary
7717098,472,6,1,primary
7596332,472,6,1,primary
7596277,472,6,1,primary
7595884,472,6,1,primary
7595816,472,6,1,primary
7595820,472,6,1,primary
7752764,472,6,1,primary
7803502,472,6,1,primary
7740511,472,6,1,primary
7702833,472,6,1,primary
7594446,472,6,1,primary
7595393,472,6,1,primary
7595398,472,6,1,primary
7594902,472,6,1,primary
7595389,472,6,1,primary
7595417,472,6,1,primary
7607698,472,6,1,primary
7595391,472,6,1,primary
7898696,472,6,1,primary
7595390,472,6,1,primary
7594447,472,6,1,primary
7595396,472,6,1,primary
7594564,472,6,1,primary
7594444,472,6,1,primary
7595394,472,6,1,primary
7595397,472,6,1,primary
7603533,472,6,1,primary
7668709,472,6,1,primary
7603327,472,6,1,primary
7603171,472,6,1,primary
7603129,472,6,1,primary
7602989,472,6,1,primary
7602833,472,6,1,primary
7602306,472,6,1,primary
7602625,472,6,1,primary
7601588,472,6,1,primary
7601640,472,6,1,primary
7602165,472,6,1,primary
7601233,472,6,1,primary
7601234,472,6,1,primary
7698751,472,6,1,primary
7600384,472,6,1,primary
7600383,472,6,1,primary
7599907,472,6,1,primary
7600255,472,6,1,primary
7668822,472,6,1,primary
7599456,472,6,1,primary
7598909,496,5,1,primary
7603877,323,1,1,primary
7598437,496,5,1,primary
7598262,472,6,1,primary
7598213,472,6,1,primary
7752813,472,6,1,primary
7612920,472,6,1,primary
7612031,472,6,1,primary
7611845,472,6,1,primary
7614111,472,6,1,primary
7616271,472,6,1,primary
7617161,472,6,1,primary
7617588,472,6,1,primary
7617113,472,6,1,primary
7616829,472,6,1,primary
7617712,472,6,1,primary
8005165,472,6,1,primary
8005262,472,6,1,primary
8005178,472,6,1,primary
7974858,472,6,1,primary
7974859,472,6,1,primary
7934575,472,6,1,primary
7934609,472,6,1,primary
7934275,472,6,1,primary
7923325,472,6,1,primary
7923284,472,6,1,primary
7934214,472,6,1,primary
7923791,472,6,1,primary
7814091,472,6,1,primary
7803723,472,6,1,primary
7803421,472,6,1,primary
7803736,472,6,1,primary
7804026,472,6,1,primary
7789576,472,6,1,primary
7789879,472,6,1,primary
7803946,472,6,1,primary
7726901,472,6,1,primary
