survey_response_id,survey_id,region_id,response_id,characteristic_id,respondents_count
373,1,3,2,18,11500
374,1,3,2,19,68873
375,1,3,2,20,137768
376,1,3,2,21,2430
377,1,3,3,17,0
378,1,3,3,18,0
379,1,3,3,19,0
380,1,3,3,20,0
381,1,3,3,21,5923
382,1,3,1,22,2959
383,1,3,1,23,3422
384,1,3,1,24,4105
385,1,3,1,25,10024
386,1,3,1,26,6592
387,1,3,1,27,9634
388,1,3,1,28,4679
389,1,3,1,29,3524
390,1,3,1,30,22668
391,1,3,2,22,36900
392,1,3,2,23,26766
393,1,3,2,24,40507
394,1,3,2,25,66231
395,1,3,2,26,60176
396,1,3,2,27,54059
397,1,3,2,28,31487
398,1,3,2,29,15804
399,1,3,2,30,119464
400,1,3,3,22,0
401,1,3,3,23,0
402,1,3,3,24,0
403,1,3,3,25,0
404,1,3,3,26,0
405,1,3,3,27,69
406,1,3,3,28,443
407,1,3,3,29,0
408,1,3,3,30,5411
409,1,3,1,31,5880
410,1,3,1,32,61728
411,1,3,1,33,0
412,1,3,1,34,0
413,1,3,2,31,35069
414,1,3,2,32,412954
415,1,3,2,33,2273
416,1,3,2,34,1098
417,1,3,3,31,0
418,1,3,3,32,788
419,1,3,3,33,0
420,1,3,3,34,5135
421,1,3,1,35,945
422,1,3,1,36,0
423,1,3,1,37,0
424,1,3,1,38,0
425,1,3,1,39,1085
426,1,3,1,40,69
427,1,3,1,41,0
428,1,3,1,42,0
429,1,3,1,43,0
430,1,3,1,44,0
431,1,3,1,45,0
432,1,3,1,46,0
433,1,3,1,47,0
434,1,3,1,48,0
435,1,3,1,49,0
436,1,3,1,50,0
437,1,3,1,51,0
438,1,3,1,52,2252
439,1,3,1,53,63325
440,1,3,2,35,134032
441,1,3,2,36,52930
442,1,3,2,37,16956
443,1,3,2,38,16492
444,1,3,2,39,105564
445,1,3,2,40,79175
446,1,3,2,41,27898
447,1,3,2,42,59728
448,1,3,2,43,51797
449,1,3,2,44,54316
450,1,3,2,45,7836
451,1,3,2,46,38047
452,1,3,2,47,6751
453,1,3,2,48,27342
454,1,3,2,49,8989
455,1,3,2,50,3766
456,1,3,2,51,867
457,1,3,2,52,33979
458,1,3,2,53,197884
459,1,3,3,35,0
460,1,3,3,36,0
461,1,3,3,37,0
462,1,3,3,38,0
463,1,3,3,39,0
464,1,3,3,40,0
465,1,3,3,41,0
466,1,3,3,42,0
467,1,3,3,43,0
468,1,3,3,44,0
469,1,3,3,45,0
470,1,3,3,46,0
471,1,3,3,47,0
472,1,3,3,48,0
473,1,3,3,49,0
474,1,3,3,50,0
475,1,3,3,51,0
476,1,3,3,52,0
477,1,3,3,53,5923
478,1,4,1,1,24843
479,1,4,1,2,117958
480,1,4,1,3,120469
481,1,4,1,4,65043
482,1,4,1,5,74419
483,1,4,2,1,349905
484,1,4,2,2,1527944
485,1,4,2,3,1169384
486,1,4,2,4,830156
487,1,4,2,5,1257038
488,1,4,3,1,42218
489,1,4,3,2,10249
490,1,4,3,3,1139
491,1,4,3,4,2509
492,1,4,3,5,3996
493,1,4,1,6,181884
494,1,4,1,7,220847
495,1,4,2,6,2525293
496,1,4,2,7,2609134
497,1,4,3,6,23233
498,1,4,3,7,36877
499,1,4,1,8,103823
500,1,4,1,9,238147
501,1,4,1,10,8189
502,1,4,1,11,33714
503,1,4,1,12,18858
504,1,4,2,8,1460590
505,1,4,2,9,2989544
506,1,4,2,10,191449
507,1,4,2,11,177729
508,1,4,2,12,315116
509,1,4,3,8,23554
510,1,4,3,9,36555
511,1,4,3,10,0
512,1,4,3,11,0
513,1,4,3,12,0
514,1,4,1,13,0
515,1,4,1,14,45874
516,1,4,1,15,139173
517,1,4,1,16,217684
518,1,4,2,13,292339
519,1,4,2,14,1752777
520,1,4,2,15,1791544
521,1,4,2,16,1297767
522,1,4,3,13,5103
523,1,4,3,14,20940
524,1,4,3,15,18067
525,1,4,3,16,16000
526,1,4,1,17,253024
527,1,4,1,18,26830
528,1,4,1,19,64278
529,1,4,1,20,58600
530,1,4,1,21,0
531,1,4,2,17,2732788
532,1,4,2,18,232055
533,1,4,2,19,747741
534,1,4,2,20,1399020
535,1,4,2,21,22824
536,1,4,3,17,227
537,1,4,3,18,2635
538,1,4,3,19,0
539,1,4,3,20,0
540,1,4,3,21,57248
541,1,4,1,22,28640
542,1,4,1,23,9916
543,1,4,1,24,38265
544,1,4,1,25,25558
545,1,4,1,26,29214
546,1,4,1,27,74362
547,1,4,1,28,45229
548,1,4,1,29,46378
549,1,4,1,30,105170
550,1,4,2,22,621081
551,1,4,2,23,483101
552,1,4,2,24,532459
553,1,4,2,25,655267
554,1,4,2,26,536881
555,1,4,2,27,556335
556,1,4,2,28,170629
557,1,4,2,29,221285
558,1,4,2,30,1357390
559,1,4,3,22,0
560,1,4,3,23,227
561,1,4,3,24,0
562,1,4,3,25,0
563,1,4,3,26,0
564,1,4,3,27,0
565,1,4,3,28,1134
566,1,4,3,29,0
567,1,4,3,30,58749
568,1,4,1,31,42364
569,1,4,1,32,357357
570,1,4,1,33,3011
571,1,4,1,34,0
572,1,4,2,31,818859
573,1,4,2,32,4202385
574,1,4,2,33,103231
575,1,4,2,34,9952
576,1,4,3,31,227
577,1,4,3,32,0
578,1,4,3,33,2635
